key,type,id,value
source,regular,539190985,IBGE
source,regular,539191049,IBGE
source,regular,539191053,IBGE
source,regular,539191056,IBGE
source,regular,539191062,IBGE
source,regular,539191065,IBGE
source,regular,539191067,IBGE
source,regular,539191070,IBGE
source,regular,539191073,IBGE
source,regular,539191075,IBGE
source,regular,539191079,IBGE
source,regular,539191083,IBGE
source,regular,539191086,IBGE
source,regular,539191090,IBGE
source,regular,539191093,IBGE
source,regular,539191096,IBGE
source,regular,539191100,IBGE
source,regular,539191105,IBGE
source,regular,539191108,IBGE
source,regular,539191273,IBGE
source,regular,539191275,IBGE
source,regular,539191277,IBGE
source,regular,539191280,IBGE
source,regular,539191282,IBGE
source,regular,539191284,IBGE
source,regular,539191338,IBGE
source,regular,539191354,IBGE
source,regular,539191355,IBGE
source,regular,539191357,IBGE
source,regular,539191358,IBGE
source,regular,539191369,IBGE
source,regular,539191370,IBGE
source,regular,539191372,IBGE
source,regular,539191373,IBGE
source,regular,539191374,IBGE
source,regular,539191375,IBGE
source,regular,539191376,IBGE
source,regular,539191377,IBGE
source,regular,539191378,IBGE
source,regular,539191379,IBGE
source,regular,539191380,IBGE
source,regular,539191381,IBGE
source,regular,539191382,IBGE
source,regular,539191383,IBGE
source,regular,539191384,IBGE
source,regular,539191385,IBGE
source,regular,539191386,IBGE
source,regular,539191387,IBGE
source,regular,539191388,IBGE
source,regular,539191389,IBGE
source,regular,539191390,IBGE
source,regular,539191391,IBGE
source,regular,539191392,IBGE
source,regular,539191393,IBGE
source,regular,539191394,IBGE
source,regular,539191395,IBGE
source,regular,539191396,IBGE
source,regular,539191397,IBGE
source,regular,539191398,IBGE
source,regular,539191399,IBGE
source,regular,539191400,IBGE
source,regular,539191401,IBGE
source,regular,539191402,IBGE
source,regular,539191403,IBGE
source,regular,539191404,IBGE
source,regular,539191406,IBGE
source,regular,539191407,IBGE
source,regular,539191408,IBGE
source,regular,539191424,IBGE
source,regular,539191425,IBGE
source,regular,539191426,IBGE
source,regular,539191427,IBGE
source,regular,539191428,IBGE
source,regular,539191429,IBGE
source,regular,539191430,IBGE
source,regular,539191437,IBGE
source,regular,539191438,IBGE
source,regular,539191439,IBGE
source,regular,539191440,IBGE
source,regular,539191441,IBGE
source,regular,539191442,IBGE
source,regular,539191443,IBGE
source,regular,539191444,IBGE
source,regular,539191445,IBGE
source,regular,539191446,IBGE
source,regular,539191447,IBGE
source,regular,539191448,IBGE
source,regular,539191449,IBGE
source,regular,539191450,IBGE
source,regular,539191451,IBGE
source,regular,539191452,IBGE
source,regular,539191453,IBGE
source,regular,539191454,IBGE
source,regular,539191455,IBGE
source,regular,539191456,IBGE
source,regular,539191457,IBGE
source,regular,539191458,IBGE
source,regular,539191459,IBGE
source,regular,539191460,IBGE
source,regular,539191461,IBGE
source,regular,539191462,IBGE
source,regular,539191463,IBGE
source,regular,539191464,IBGE
source,regular,539191523,IBGE
source,regular,539191524,IBGE
source,regular,539191525,IBGE
source,regular,539191526,IBGE
source,regular,539191527,IBGE
source,regular,539191528,IBGE
source,regular,539191529,IBGE
source,regular,539191530,IBGE
source,regular,539191531,IBGE
source,regular,539191532,IBGE
source,regular,539191533,IBGE
source,regular,539191534,IBGE
source,regular,539191535,IBGE
source,regular,539191536,IBGE
source,regular,539191595,IBGE
source,regular,539191603,IBGE
source,regular,539191604,IBGE
source,regular,539191605,IBGE
source,regular,539191606,IBGE
source,regular,539191607,IBGE
source,regular,539191608,IBGE
source,regular,539191609,IBGE
source,regular,539191610,IBGE
source,regular,539191611,IBGE
source,regular,539191613,IBGE
source,regular,539191614,IBGE
source,regular,539191615,IBGE
source,regular,539191617,IBGE
source,regular,539191618,IBGE
source,regular,539191619,IBGE
source,regular,539191620,IBGE
source,regular,539191621,IBGE
source,regular,539191622,IBGE
source,regular,539191623,IBGE
source,regular,539191624,IBGE
source,regular,539191625,IBGE
source,regular,539191627,IBGE
source,regular,539191628,IBGE
source,regular,539191629,IBGE
source,regular,539191630,IBGE
source,regular,539191631,IBGE
source,regular,539191632,IBGE
source,regular,539191633,IBGE
source,regular,539191636,IBGE
source,regular,539191637,IBGE
source,regular,539191638,IBGE
source,regular,539191701,IBGE
source,regular,539191702,IBGE
source,regular,539191710,IBGE
source,regular,539191718,IBGE
source,regular,539191977,IBGE
source,regular,539191979,IBGE
source,regular,539191980,IBGE
source,regular,539191981,IBGE
source,regular,539191983,IBGE
source,regular,539191984,IBGE
source,regular,539191985,IBGE
source,regular,539191986,IBGE
source,regular,539191987,IBGE
source,regular,539191988,IBGE
source,regular,539191989,IBGE
source,regular,539191990,IBGE
source,regular,539191991,IBGE
source,regular,539192000,IBGE
